,group,variable,value,color,text,cnp,mobile_text
37,Bas-Saint-Laurent,  5241 Designers graphiques et illustrateurs,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,5241,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les designers graphiques et illustrateurs.
38,Bas-Saint-Laurent,  7202 Entrepreneurs et contremaîtres en électricité et en télécommunications,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,7202,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les entrepreneurs et contremaîtres en électricité et en télécommunications.
39,Bas-Saint-Laurent,  7245 Monteurs de lignes et de câbles de télécommunications,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,7245,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les monteurs de lignes et de câbles de télécommunications.
40,Bas-Saint-Laurent,  7246 Installateurs et réparateurs de matériel de télécommunications,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,7246,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les installateurs et réparateurs de matériel de télécommunications.
41,Bas-Saint-Laurent,  7247 Techniciens en montage et en entretien d'installations de câblodistribution,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,7247,Les techniciens en montage et en entretien d'installations de câblodistribution n'ont pas été <br>l'objet d'un diagnostic dans la région.
42,Bas-Saint-Laurent,  9222 Surveillants dans la fabrication de matériel électronique,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,9222,Les surveillants dans la fabrication de matériel électronique n'ont pas été <br>l'objet d'un diagnostic dans la région.
43,Bas-Saint-Laurent,"  9523 Assembleurs, monteurs, contrôleurs et vérificateurs de matériel électronique",66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,9523,"Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les assembleurs, monteurs, contrôleurs et vérificateurs de matériel électronique."
44,Capitale-Nationale,  0131 Directeurs d'entreprises de télécommunications,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,131,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les directeurs d'entreprises de télécommunications.
45,Capitale-Nationale,  0213 Gestionnaires des systèmes informatiques,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,213,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les gestionnaires des systèmes informatiques
46,Capitale-Nationale,  2133 Ingénieurs électriciens et électroniciens,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2133,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les ingénieurs électriciens et électroniciens
